Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating;
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0,0.16,0.91,,,,,,;
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77,63,7.2,53,Ubisoft Shanghai,T;
LEGO Harry Potter: Years 5-7,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0,0.15,0.91,76,27,8.3,48,Traveller's Tales,E10+;
Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63,15,8.9,23,Genki,E;
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92,59,8.9,950,Monolith Soft,T;
Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.07,0.91,,,,,,;
Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.01,0.91,,,,,,;
Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90,13,8.7,31,Codemasters,E;
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57,25,7.4,57,Omega Force,T;
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.09,0.91,86,15,5.7,183,Visual Concepts,E;
Namco Museum,XB,N/A,Misc,Unknown,0.77,0.11,0,0.04,0.91,59,7,tbd,,Mass Media,E;
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81,38,6.8,110,EA Canada,E;
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.48,0.32,0.02,0.09,0.91,56,26,8.1,57,Sonic Team,E;
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.84,0,0,0.07,0.91,,,,,,;
Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,0,0,0.91,0,0.91,,,,,,;
Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0,0.04,0.91,75,20,7.9,12,Sonic Team,E;
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76,42,6.5,53,Codemasters,M;
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0,0.12,0.9,80,23,7.6,5,EA Sports,E;
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9,78,68,8.3,432,Mistwalker,T;
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77,80,3.4,1221,Capcom,T;
Just Cause 3,XOne,2015,Action,Square Enix,0.44,0.39,0,0.08,0.9,71,24,7,186,Avalanche Studios,M;
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,0,0,0.9,0,0.9,,,,,,;
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9,78,36,7.6,9,989 Sports,E;
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0,0.08,0.9,73,75,7.3,82,Vicarious Visions,T;
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9,90,52,8.8,114,Criterion Games,E10+;
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76,45,6.7,344,Crytek,M;
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0,0.08,0.9,,,7,109,Ubisoft Montreal,M;
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88,82,8.3,818,CD Projekt Red Studio,M;
Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.15,0.9,70,60,5.7,174,Kaos Studios,M;
Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9,,,,,,;
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70,46,7,80,TT Games,E10+;
Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.42,0,0.16,0.9,,,,,,;
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.51,0,0.07,0.9,71,64,5.7,2421,ZeniMax Media,M;
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9,,,,,,;
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,70,44,8.1,8,Clap Hanz,E;
MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.25,0,0.12,0.9,74,44,7.4,10,Rainbow Studios,E;
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0,0.15,0.9,74,13,5.2,118,EA Sports,E;
Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,73,28,7.6,34,Sonic Team,E;
Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0,0.01,0.9,,,,,,;
Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,50,14,6.5,28,Vicarious Visions,T;
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0,0.03,0.9,71,16,7.5,15,Electronic Arts,T;
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.34,0.46,0,0.1,0.9,69,5,tbd,,Traveller's Tales,E10+;
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9,61,4,5.2,11,TT Games,E10+;
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0,0.14,0.9,86,53,7.8,49,FreeStyleGames,T;
Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.27,0,0.08,0.9,,,tbd,,Toys for Bob,E10+;
X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9,82,63,8.5,14,Raven Software,T;
NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0,0.04,0.9,85,28,7.6,14,EA Canada,E;
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0,0.11,0.9,68,21,6.6,27,Magic Pockets,E;
LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0,0.07,0.9,,,7.2,21,TT Games,E10+;
Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0,0.03,0.89,71,6,tbd,,Vicarious Visions,E;
Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89,76,25,8,20,Midway,M;
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0,0.06,0.89,68,11,tbd,,Blitz Games Studios,E;
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,91,22,8.5,59,KCEK,T;
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67,64,6.3,121,Zipper Interactive,M;
Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0,0.12,0.89,83,29,6.2,16,EA Sports,E;
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0,0.1,0.89,77,47,6.7,58,EA Sports,E;
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84,16,8.6,58,Nintendo,E;
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85,38,9.1,132,Intelligent Systems,E;
Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.43,0.37,0,0.09,0.89,,,,,,;
TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0,0.1,0.89,76,8,tbd,,Midway Studios - San Diego,E;
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0,0,0.89,0,0.89,,,,,,;
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.72,0,0,0.17,0.89,,,,,,;
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0,0.18,0.89,77,56,8.3,80,Guerrilla,T;
Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0,0.02,0.89,62,11,5.5,8,Traveller's Tales,E;
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.33,0,0.08,0.89,,,6.8,14,TT Games,E10+;
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,10,8.2,22,Namco,T;
NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0,0.11,0.89,85,16,7.5,6,Visual Concepts,E;
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.89,83,43,7.8,30,Black Rock Studio,E;
We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.89,,,,,,;
Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89,81,67,8.1,84,Sony Bend,M;
Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0,0.08,0.89,75,12,7.8,20,n-Space,T;
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0,0.11,0.89,80,41,7.3,17,Electronic Arts,E;
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89,,,,,,;
MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89,,,,,,;
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.18,0,0.11,0.89,,,,,,;
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0,0.09,0.89,80,18,8.4,22,EA Canada,E;
SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,0,0.68,0,0.2,0.89,,,,,,;
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0,0.13,0.89,70,25,7.1,16,Traveller's Tales,E10+;
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0,0,0.89,0,0.89,,,,,,;
Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0,0,0.06,0.89,70,17,7.9,15,RED Entertainment,E;
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.47,0,0.13,0.89,,,,,,;
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0,0,0.07,0.89,79,9,4.1,34,EA Tiburon,E;
Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88,68,43,8.1,40,Gearbox Software,E;
Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88,,,,,,;
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0,0.15,0.88,71,30,7.5,49,EA Redwood Shores,T;
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0,0.09,0.88,86,40,4.2,6430,Infinity Ward,M;
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0,0.15,0.88,78,37,8.1,60,Crystal Dynamics,T;
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84,43,7.5,65,Codemasters Birmingham,E;
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78,47,7.8,91,Techland,M;
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.48,0.33,0,0.08,0.88,,,,,,;
Rhythm Heaven,Wii,N/A,Misc,Unknown,0.11,0,0.77,0.01,0.88,,,,,,;
NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0,0.11,0.88,84,23,8.3,13,Visual Concepts,E;
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78,52,8.3,144,Square Enix,T;
Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0,0.5,0.88,,,,,,;
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88,,,,,,;
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0,0.01,0.07,0.88,51,11,7.8,17,Ubisoft,E;
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0,0.08,0.88,77,27,6.4,194,Ubisoft Montreal,M;
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82,78,8.5,397,Capcom,M;
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,74,55,7.3,81,BioWare,E;
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0,0.09,0.88,61,8,5.5,18,n-Space,T;
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.07,0.88,90,40,6.6,2299,Rockstar Toronto,M;
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0,0.06,0.88,93,57,8.2,137,Harmonix Music Systems,T;
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0,0.08,0.88,75,49,7.6,45,Yuke's,T;
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88,86,25,8.1,18,Kush Games,E;
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82,49,7.8,345,Gearbox Software,M;
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0,0.03,0.87,88,49,8.8,45,FASA Studio,T;
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0,0,0.07,0.87,76,29,6.8,27,EA Tiburon,E;
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87,48,4,6.6,16,Runecraft,T;
Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87,,,,,,;
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0,0.11,0.87,69,29,7.2,30,Sumo Digital,E;
Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0,0,0.87,0,0.87,,,,,,;
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87,81,33,8.8,17,Red Storm Entertainment,M;
Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80,47,7.9,468,United Front Games,M;
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80,71,7.7,446,Big Huge Games,M;
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.87,,,,,,;
Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87,,,,,,;
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87,68,20,7.2,105,Jupiter Corporation,E10+;
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69,27,8.1,35,Alfa System,T;
Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0,0.81,0,0.06,0.87,,,,,,;
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0,0.07,0.87,63,31,6.8,29,Ubisoft Montreal,E10+;
NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87,,,,,,;
Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87,69,17,7.3,19,Shaba Games,T;
NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0,0.06,0.87,,,,,,;
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87,62,7.9,131,Codemasters,E;
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87,83,59,7.4,94,Codemasters,E;
Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0,0.23,0.87,,,,,,;
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85,84,8.1,237,Volition Inc.,M;
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87,88,37,9,37,EA Sports,T;
Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87,65,14,8.1,17,SCi,T;
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0,0.08,0.87,,,7.1,14,TT Games,E10+;
Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87,65,17,tbd,,Pandemic Studios,E;
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62,17,4.9,12,Cooking Mama Limited,E;
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87,76,65,8.3,149,Gearbox Software,M;
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,8.3,129,SquareSoft,T;
Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55,14,8.2,16,Omega Force,T;
Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87,,,,,,;
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77,23,6.3,288,Crytek,M;
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72,43,7.1,73,Pandemic Studios,T;
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87,73,29,tbd,,SCEE,T;
Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0,0.08,0.86,58,7,tbd,,Disney Interactive Studios,E;
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0,0.07,0.86,76,29,8.5,28,Red Fly Studio,E10+;
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0,0.86,,,,,Cygames,T;
Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.86,,,,,,;
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86,80,69,6.2,160,FreeStyleGames,T;
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76,42,8.5,26,Arika,E10+;
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81,10,8.3,14,KCET,E;
Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86,74,14,8.4,11,Rage Software,T;
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86,53,4,5.8,4,Toolbox Design,E;
Madden Football 64,N64,1997,Sports,Electronic Arts,0.81,0.04,0,0.01,0.86,,,,,,;
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0,0.08,0.86,72,65,6.5,51,Neversoft Entertainment,T;
MLB 99,PS,1998,Sports,Sony Computer Entertainment,0.48,0.32,0,0.06,0.86,,,,,,;
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0,0.23,0.86,76,46,7.9,14,Team 17,E;
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72,15,9.1,39,Omega Force,T;
Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0,0.07,0.85,71,7,tbd,,Page 44 Studios,E;
Army Men: Air Attack,PS,1999,Action,3DO,0.47,0.32,0,0.06,0.85,,,,,,;
FIFA Soccer 08,DS,2007,Sports,Electronic Arts,0.1,0.65,0,0.11,0.85,,,,,,;
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83,61,8.1,58,Electronic Arts,E;
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0,0.11,0.85,73,22,7.3,25,Crystal Dynamics,T;
NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0,0,0.07,0.85,81,33,7,28,Visual Concepts,E;
Street Fighter Alpha 2,PS,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85,,,,,,;
Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85,88,26,8.9,14,EA Sports,E;
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,,,,,,;
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.36,0,0.14,0.85,,,7.4,14,TT Games,E10+;
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81,34,7.6,376,Big Huge Games,M;
Rampage World Tour,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85,,,,,,;
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.69,0.1,0,0.06,0.85,,,tbd,,Land Ho!,E10+;
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82,50,8.2,193,Namco Bandai Games,T;
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83,52,7.7,115,Team Ninja,M;
Ratatouille,PS2,2007,Action,THQ,0.31,0,0,0.53,0.85,65,9,8,11,Asobo Studio,E;
NFL GameDay,PS,1995,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85,,,,,,;
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11,0.85,86,31,8.2,48,Criterion Games,E;
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72,19,7.7,72,Nintendo,E;
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64,17,7.9,31,Arika,T;
The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0,0.2,0.05,0.85,75,25,8.4,26,TOSE,E;
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0,0,0.06,0.85,85,22,7.4,25,EA Tiburon,E;
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78,65,8.7,95,Headstrong Games,M;
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74,56,7,88,EA Montreal,M;
Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84,39,7.1,422,Vigil Games,M;
Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0,0.02,0.84,80,41,8.8,30,Treyarch,T;
The Lord of the Rings: War in the North,X360,N/A,Action,Warner Bros. Interactive Entertainment,0.52,0.24,0,0.08,0.84,61,48,7.4,113,Snowblind Studios,M;
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71,59,7.9,216,Bandai Namco Games,T;
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.36,0,0.14,0.84,78,74,7.9,96,Terminal Reality,T;
The Incredibles,GC,2004,Action,THQ,0.65,0.17,0,0.02,0.84,63,27,7.1,7,Heavy Iron Studios,T;
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84,87,8.9,1548,Monolith Soft,T;
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83,30,7.8,39,Visual Concepts,E;
Petz Dogz Fashion,DS,2008,Simulation,Ubisoft,0.46,0.3,0,0.09,0.84,,,tbd,,Ubisoft,E;
ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84,68,19,tbd,,Acclaim,E;
Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84,,,,,,;
Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84,50,7.8,53,EA Black Box,T;
Rocket Power: Team Rocket Rescue,PS,2001,Sports,THQ,0.47,0.32,0,0.05,0.84,,,,,,;
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84,62,15,5.3,20,Eutechnyx,T;
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,,,7.6,193,Tango Gameworks,M;
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83,59,8.4,89,Level 5,T;
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0,0.11,0.84,86,14,8.1,10,Visual Concepts,E;
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0,0,0.09,0.84,77,9,6.2,40,EA Tiburon,E;
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.46,0,0.1,0.84,51,15,4.9,19,Visual Impact,E;
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67,37,6.8,131,Rebellion,M;
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0,0.01,0.84,89,50,9,132,Nintendo,E;
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,0.09,0,0,0.74,0.84,,,7.6,14,High Voltage Software,E10+;
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0,0.08,0.84,86,53,8.4,108,Criterion Games,E10+;
Q*bert,PS,1999,Puzzle,Atari,0.46,0.32,0,0.05,0.84,,,,,,;
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.83,57,11,6.7,28,Ubisoft,T;
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.76,0.01,0,0.06,0.83,82,19,7.2,22,EA Tiburon,E;
Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,,,,,,;
Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75,17,8.8,24,Omega Force,T;
Madden NFL 07,PSP,N/A,Sports,Unknown,0.77,0.03,0,0.04,0.83,78,18,6.6,16,EA Tiburon,E;
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60,52,7.4,21,Nex Entertainment,T;
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0,0.01,0.83,57,6,5,5,Artificial Mind and Movement,E;
